"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|NL","Without sequence","42.0","",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|NL","Without sequence","49.94","",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|NL","Without sequence","51.95","",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|NL","Without sequence","40.99","",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|NL","Without sequence","39.0","",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|NL","Without sequence","35.89","",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|NL","Without sequence","34.99","",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|NL","Without sequence","29.02","",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|NL","Without sequence","28.64","",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|NL","Without sequence","34.94","",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|NL","Without sequence","39.94","",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|NL","Without sequence","42.44","",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|NL","Without sequence","49.57","",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|NL","Without sequence","48.69","",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|NL","Without sequence","37.44","",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|NL","Without sequence","37.3","",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|NL","Without sequence","44.12","",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|NL","Without sequence","51.59","",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|NL","Without sequence","59.07","",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|NL","Without sequence","55.0","",""
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|NL","Without sequence","52.0","",""
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|NL","Without sequence","52.0","",""
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|NL","Without sequence","52.44","",""
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|NL","Without sequence","49.27","",""
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|NL","Without sequence","30.54","",""
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|NL","Without sequence","30.0","",""
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|NL","Without sequence","33.21","",""
